MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO		
3114	T06MC3114A	RIS GRANDEUR CONDOMINIUM	23 ELIAS ROAD 519930	33 ELIAS ROAD B1-28 SINGAPORE 519935	ACTIVE	65855183	13/06/2006	CKH STRATA MANAGEMENT PTE LTD	63463238		
3115	T06MC3115H	TANGLIN RESIDENCES	23 ST. MARTINS DRIVE 258004	23 ST. MARTINS DRIVE B1-01 SINGAPORE 258004	ACTIVE	62382131	09/05/2006	UNITED PREMAS LIMITED	62382131		
3116	T07MC3116J	EASTERN RESIDENCE	285/285A JOO CHIAT PLACE 427966	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	67441083	30/01/2007	CHERN SERN PROPERTY SERVICES PTE LTD	67441083		
3117	T06MC3117L	THE PROMINENCE	101 HAIG ROAD 438749	101 HAIG ROAD - SINGAPORE 438749	ACTIVE	6665 3880	11/07/2006	Propmag Management Services Pte Ltd	6665 3880		
3118	T06MC3118G	MANAGEMENT CORPN STRATA TITLE PLAN NO 3118	521 JOO CHIAT ROAD 427701	18 KAKI BUKIT ROAD 3 02-11 SINGAPORE 415978	ACTIVE	6742 6628	30/03/2006	BARRINGHAM INTERNATIONAL  PROPERTY MANAGEMENT PTE LTD	64664703		
3120	T06MC3120L	DUCHESS MANOR	20 DUCHESS ROAD 269033	20 DUCHESS ROAD - SINGAPORE 268988	ACTIVE	64685100	12/09/2006	Chamber Property Management Services Pte Ltd	65685100		
3121	T06MC3121G	THE SPECTRUM	501 PASIR PANJANG ROAD 117506	505 PASIR PANJANG ROAD 01-09 SINGAPORE 117504	ACTIVE	67747102	02/05/2006	CKH Strata Management Pte Ltd	63463243		
3122	T07MC3122H	RESIDENCES @ EVELYN	13 EVELYN ROAD 309310	13 EVELYN ROAD 01-09 SINGAPORE 309310	ACTIVE	63566339	24/05/2007	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63566339		
3123	T06MC3123K	THR3E THRE3 ROBIN	33 ROBIN ROAD 258208	33 ROBIN ROAD B1-01 SINGAPORE 258208	ACTIVE	67342788	24/07/2006	SEVEN PALMS RESORTS MANAGEMENT PTE LTD	67349119		
3124	T06MC3124F	MANAGEMENT CORPN STRATA TITLE PLAN NO 3124	60 LENGKONG TIGA 417454	60 LENGKONG TIGA B1-01 SINGAPORE 417454	ACTIVE	6449 1261	05/09/2006	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
3127	T06MC3127E	LE CRESCENDO	233 PAYA LEBAR ROAD 409044	233 PAYA LEBAR ROAD 01-06 SINGAPORE 409044	ACTIVE	67413550	06/12/2006	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723032		
3128	T06MC3128A	TAIPAN JADE CONDOMINIUM	1 ROSE LANE 437386	1 ROSE LANE - SINGAPORE 437386	ACTIVE	68411535	13/06/2006	PACIFIC PROPERTY MANAGEMENT PTE LTD	68411535		
3129	T06MC3129H	MANAGEMENT CORPN STRATA TITLE PLAN NO 3129	3 CHURCH STREET 049483	3 CHURCH STREET 07-02 SINGAPORE 049483	ACTIVE	64386911	07/11/2006	UNITED PREMAS LIMITED			
3130	T06MC3130E	KERRISDALE	32 STURDEE ROAD 207853	32 STURDEE ROAD 01-07 SINGAPORE 207853	ACTIVE	62952008	26/07/2006	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
3132	T06MC3132H	GRAND REGALIA	815 UPPER SERANGOON ROAD 534676	815 UPPER SERANGOON ROAD 01-01 SINGAPORE 534676	ACTIVE	65111823	30/05/2006	Abacus Property Management Pte Ltd	65111823		
3133	T06MC3133D	GLENTREES	11A MOUNT SINAI LANE 277050	13 MOUNT SINAI LANE B1-01 SINGAPORE 277058	ACTIVE	63146228	16/06/2006	UNITED PREMAS LIMITED	68760088		
3136	T06MC3136C	HAIG ELEVEN	11 HAIG AVENUE 438866	865 MOUNTBATTEN ROAD 05-34 SINGAPORE 437844	ACTIVE	66653880	20/06/2006	Landsfield Property Consultants Pte Ltd	68421731		
3137	T06MC3137K	8@TradeHub21	8 BOON LAY WAY 609964	8 BOON LAY WAY 01-14 SINGAPORE 609964	ACTIVE	63164798	26/06/2006	Newman & Goh Property Consultants Pte Ltd	62569333		
3138	T06MC3138F	36	 36A & 36B OXLEY ROAD	36 OXLEY ROAD 238862	2 KALLANG AVENUE 09-28 SINGAPORE 339407	ACTIVE	67356255	15/09/2006	TG PROPERTIES PTE LTD	64406633	
3139	T06MC3139B	DUET CONDOMINIUM	78 HOLLAND ROAD 258873	78/80 HOLLAND ROAD 01-01 SINGAPORE 258873	ACTIVE	64745776	18/12/2006	SAVILLSCKH PTE LTD	63463238		
3140	T06MC3140K	GRAND RESIDENCE	54 LORONG G TELOK KURAU 426237	54 LORONG G TELOK KURAU - SINGAPORE 426237	ACTIVE	62569333	16/06/2006	Newman & Goh Property Consultants Pte Ltd	62569333		
3141	T06MC3141F	BUTTERWORTH 33	33 BUTTERWORTH LANE 439442	28 SIN MING LANE 06-133 SINGAPORE 573972	ACTIVE	62569333	03/10/2006	Newman & Goh Property Consultants Pte Ltd	62569333		
3142	T06MC3142B	THE ELEGANCE @ CHANGI	30 LORONG 107 CHANGI 426446	2 JURONG EAST STREET 21 05-05 SINGAPORE 609601	ACTIVE	65675055	22/06/2006	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65682033		
3143	T06MC3143J	EDEN VIEW	6 EDEN GROVE 539102	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	64664703	12/06/2006	Barringham International Property Management Pte Ltd	64664703		
3159	T06MC3159A	SPRINGHILL	2 SEMBAWANG WALK 757616	2 SEMBAWANG WALK 01-116 SINGAPORE 757616	ACTIVE	67542523	17/10/2006	MELANA INTERNATIONAL PTE LTD	63271110		
3160	T06MC3160J	LE ROYCE @ LEITH PARK	8 LEITH PARK 547960	190 WOODLANDS INDUSTRIAL PARK E5 07-09 SINGAPORE 757516	ACTIVE	68849113	07/09/2006	Steadlink Asset Management Pte Ltd	68849113		
3161	T06MC3161E	EMILY RESIDENCE	3 MOUNT EMILY ROAD 228485	3 MOUNT EMILY ROAD B1-01 SINGAPORE 228485	ACTIVE	65665055	12/09/2006				
3162	S7537457G	MANAGEMENT CORPN STRATA TITLE PLAN NO 3162	10 SUFFOLK ROAD 307786	10 SUFFOLK ROAD - SINGAPORE 307786	ACTIVE		11/09/2006	WEAVEPACT MANAGEMENTPTE LTD	67470926		
3163	T06MC3163H	BAYWATER	806 BEDOK RESERVOIR ROAD 479241	808 BEDOK RESERVOIR ROAD 01-07 SINGAPORE 479240	ACTIVE	62460308	05/10/2006	Chamber Property Management Services Pte Ltd	64685100		
3164	T06MC3164D	THE SUNNIDORA	46 LORONG G TELOK KURAU 426223	46 LORONG G TELOK KURAU - SINGAPORE 426223	ACTIVE	64411184	30/06/2006	A4 INTERNATIONAL PTE LTD	64411184		
3165	T06MC3165L	WESTSIDE 33	33 WEST COAST ROAD 126825	33 WEST COAST ROAD - SINGAPORE 126825	ACTIVE		23/08/2006	Barringham International Property Management Pte Ltd	64664703		
3166	T06MC3166G	THE PIER AT ROBERTSON	80 MOHAMED SULTAN ROAD 239103	80 MOHAMED SULTAN ROAD 02-08 SINGAPORE 239013	ACTIVE	63336889	21/09/2006	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
3167	T06MC3167C	KOVAN PRIMERA	89 KOVAN ROAD 548177	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	67322220	27/06/2006	SEIRRA ASSET MANAGEMENT PTE LTD	67322220		
3169	T06MC3169F	SMAILING COURT	52 LORONG MYDIN 416851	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	67441083	20/09/2006	CHERN SERN PROPERTY SERVICES PTE LTD	67441083		
3171	T06MC3171K	LEONIE HILL RESIDENCES	1 LEONIE HILL ROAD 239191	1 LEONIE HILL ROAD 01-01 SINGAPORE 239191	ACTIVE	67378760	13/09/2006	UGL SERVICES PREMAS OPERATIONAL LIMITED	6737 8760		
3172	T06MC3172F	MANAGEMENT CORPN STRATA TITLE PLAN NO 3172	7 LINCOLN ROAD 308347	7 LINCOLN ROAD 01-02 SINGAPORE 308366	ACTIVE	6747 0926	21/09/2006	Weavepact Management Pte Ltd	67470926		
3173	T06MC3173B	SUNSHINE RESIDENCE	61 LORONG K TELOK KURAU 425671	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	06/07/2006	Earnest Management Services Pte Ltd	63370087		
3174	T07MC3174C	DE ROYALE	31 JALAN RAMA RAMA 329111	35 JALAN RAMA RAMA 02-04 SINGAPORE 329113	ACTIVE	63565288	15/01/2007	Knight Frank Estate Management Pte Ltd	68485678		
3175	T07MC3175K	ENTERPRISE HUB	48 TOH GUAN ROAD EAST 608586	48 TOH GUAN ROAD EAST 01-133 SINGAPORE 608586	ACTIVE	65155171	06/07/2007	Exceltec Property Management Pte Ltd	65682033		
3176	200104398M	COASTARINA	510 EAST COAST ROAD 429098	55 LORONG L TELOK KURAU 02-69 SINGAPORE 425500	ACTIVE	63488278	17/08/2006	Iland Property Consultants Pte Ltd	63488278		
3180	T06MC3180H	CASABELLA	214 DUCHESS AVENUE 266334	174 DUCHESS AVENUE - SINGAPORE 269186	ACTIVE	64624311	01/08/2006	JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD	62203888		
3184	T06MC3184C	MARTIN EDGE	50 MARTIN ROAD 239071	50 MARTIN ROAD - SINGAPORE 239071	ACTIVE	64411184	10/11/2006	A4 International Pte Ltd	64411184		
3185	T06MC3185K	RACE COURSE MANSION	122 RACE COURSE ROAD 218583	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	20/06/2006	Earnest Management Services Pte Ltd	63370087		
3186	S7242848Z	TAN QUEE LAN SUITES	9 TAN QUEE LAN STREET 188098	9 TAN QUEE LAN STREET 02-04 SINGAPORE 188098	ACTIVE	68849382	04/04/2007	Colliers International Consultancy & Valuation (S) Pte Ltd	62232323		
3187	S7905839D	MANAGEMENT CORPN STRATA TITLE PLAN NO 3187	498 UPPER EAST COAST ROAD 466526	498 UPPER EAST COAST ROAD 01-04 SINGAPORE 466526	ACTIVE	6468 5100	01/09/2006	Chamber Property Management Services Pte Ltd	83683379		
3188	S1196272F	MACKENZIE 138	138 MACKENZIE ROAD 228719	138 MACKENZIE ROAD - SINGAPORE 228719	ACTIVE	64411184	30/01/2007	A4 International Pte Ltd	64411184		
3189	T07MC3189K	SEA AVENUE RESIDENCES	11 SEA AVENUE 424228	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	67322220	15/01/2007	SIERRA ASSET MANAGEMENT PTE LTD	67322220		
3190	T06MC3190B	SOPHIA LODGE	69 SOPHIA ROAD 228152	69 SOPHIA ROAD 02-03 SINGAPORE 228152	ACTIVE	63452117	19/10/2006	TOTAL ESTATE MANAGEMENT SERVICES PTE LTD	63452117		
3191	T06MC3191J	ROCCA BALESTIER	221 BALESTIER ROAD 329928	221 BALESTIER ROAD - SINGAPORE 329928	ACTIVE	63375277	19/07/2006	Abacus Property Management Pte Ltd	65111800		
3192	T06MC3192E	BAITIANGONG	80 SOPHIA ROAD 228190	80 SOPHIA ROAD 05-01 SINGAPORE 228190	ACTIVE	68845223	07/12/2006				
3193	T07MC3193F	VENEZIO	488 UPPER EAST COAST ROAD 466520	865 MOUNTBATTEN ROAD 06-33 SINGAPORE 437844	ACTIVE	63452117	25/01/2007	Hilandas Property and Facilities Management Pte. Ltd	63420778		
3194	T06MC3194H	STUDIO 3	28 SHANGHAI ROAD 248196	28 SHANGHAI ROAD - SINGAPORE 248196	ACTIVE	62232323	01/08/2006	COLLIERS INTERNATIONAL CONSULTANCY & VALUATION PTE LTD	62232323		
3196	T06MC3196L	THE EASTSIDE	509 JOO CHIAT ROAD 427694	509 JOO CHIAT ROAD 01-05 SINGAPORE 427694	ACTIVE	68849113	29/12/2006	STEADLINK ASSET MANAGEMENT PTE LTD	6884 9113 		
3197	T07MC3197A	THE SHAUGHNESSY	58 MILTONIA CLOSE 768215	58 MILTONIA CLOSE - SINGAPORE 768215	ACTIVE	67572300	05/04/2007				
3198	T06MC3198C	SUNSHINE MANSIONS	289 JOO CHIAT PLACE 427970	289 JOO CHIAT PLACE - SINGAPORE 427970	ACTIVE	63370087	18/10/2006	Earnest Management Services Pte Ltd	63370087		
3199	T07MC3199D	GROSVENOR VIEW	1 LENGKONG EMPAT 417609	3 LENGKONG EMPAT 01-07 SINGAPORE 417611	ACTIVE	64417180	14/03/2007	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65682033		
3200	T07MC3200H	THE CHANCERY RESIDENCE	33E CHANCERY LANE 309555	33E CHANCERY LANE 01-01 SINGAPORE 309555	ACTIVE	63345565	03/04/2007	DICKSON FACILITIES & STRATA MANAGEMENT	63345565		
3201	T07MC3201D	D'CAMBRIDGE	60 CAMBRIDGE ROAD 219757	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	02/02/2007	Earnest Management Services Pte Ltd	63370087		
3202	S1232366B	REGAL 35	15 LORONG 35 GEYLANG 387945	15 LORONG 35 GEYLANG 01-01 SINGAPORE 387945	ACTIVE	63389883	28/08/2006	Dawson Property Management Pte Ltd	63389883		
3203	T07MC3203G	PINNACLE 16	16 SHAN ROAD 328701	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	16/02/2007				
3204	T07MC3204C	D'GALLERY	15 JALAN MASJID 418936	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	65333375	16/08/2007	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
3205	T07MC3205K	NATHAN PLACE	16 NATHAN ROAD 248742	18 NATHAN ROAD B1-09 SINGAPORE 248747	ACTIVE	68875965	21/02/2007	Iland Property Consultants Pte Ltd	6348 8278		
3206	P06MC3206A	SPRING @ KATONG	18 CEYLON ROAD 429748	229 MOUNTBATTEN ROAD 03-36 SINGAPORE 398007	ACTIVE	62569333	19/12/2006	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703		
3208	T07MC3208J	ENTERPRISE ONE	1 KAKI BUKIT ROAD 1 415934	1 KAKI BUKIT ROAD 1 01-45 SINGAPORE 415934	ACTIVE	68413866	27/07/2007	Melana International Pte Ltd	63271110		
3209	T06MC3209L	KELIVILLE	31 JALAN KELI 577931	186-200 HOLLAND ROAD - SINGAPORE 278583	ACTIVE	64649600	11/09/2006				
3210	T06MC3210H	HIGHLAND RESIDENCES	106/A/B HIGHLAND ROAD 549180	93C HIGHLAND ROAD - SINGAPORE 549171	ACTIVE	62857863	06/12/2006	LAND & BUILDING SERVICES	62857863		
3211	G7200824W	THE SUNNY LEGEND	85 LORONG H TELOK KURAU 426100	85 LORONG H TELOK KURAU - SINGAPORE 426100	ACTIVE	64411184	04/12/2006	A4 INTERNATIONAL PTE LTD	64411184		
3212	T08MC3212K	THE LINEAR	896 UPPER BUKIT TIMAH ROAD 678189	888 UPPER BUKIT TIMAH ROAD 05-37 SINGAPORE 678185	ACTIVE	64684071	07/07/2008	Exceltec Property Management Pte Ltd	65682033		
3213	T07MC3213A	MANAGEMENT CORPN STRATA TITLE PLAN NO 3213	39 PASIR PANJANG HILL 118860	39 PASIR PANJANG HILL 01-06 SINGAPORE 118860	ACTIVE	6256 9333	25/04/2007	A4 International Pte Ltd	64411184		
3215	T07MC3215D	THE BOTANIC ON LLOYD	21 LLOYD ROAD 239124	37 LLOYD ROAD B1-13 SINGAPORE 239127	ACTIVE	67378387	09/03/2007	Jones Lang LaSalle Property Consultants Pte Ltd	64188630		
3216	T07MC3216L	STRATA CONDOMINIUM	1 ESSEX ROAD 309329	1 ESSEX ROAD 01-01 SINGAPORE 309329	ACTIVE	62546818	11/06/2007	Melana International Pte Ltd	68403838		
3217	T07MC3217G	ROBERTSON BLUE	86 ROBERTSON QUAY 238245	88 ROBERTSON QUAY 02-01 SINGAPORE 238245	ACTIVE	67328611	23/04/2007	Chamber Property Management Services Pte Ltd	94336631		
3218	T07MC3218C	D'HILLSIDE LOFT	31 PASIR PANJANG HILL 118853	31 PASIR PANJANG HILL - SINGAPORE 118853	ACTIVE		23/02/2007	Chamber Property Management Services Pte Ltd	64685100		
3220	T07MC3220G	THE BERTH BY THE COVE	218 OCEAN DRIVE 098621	228 OCEAN DRIVE 01-34 SINGAPORE 098616	ACTIVE	62746678	08/06/2007				
3221	T07MC3221C	RADIX	18 JALAN WAKAFF 428228	55 LORONG L TELOK KURAU 02-69 SINGAPORE 425500	ACTIVE	63488278	05/04/2007	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	92403958		
3222	T07MC3222K	CLYDES RESIDENCE	78 MERGUI ROAD 219054	78 MERGUI ROAD 01-01 SINGAPORE 219054	ACTIVE	64111696	12/02/2007	Chamber Property Management Services Pte Ltd	64111650		
3223	T07MC3223F	THE BOULEVARD RESIDENCE	6 CUSCADEN WALK 249691	6 CUSCADEN WALK 01-01 SINGAPORE 249691	ACTIVE	67388823	16/04/2007	Jones Lang LaSalle Property Consultants Pte Ltd	67388823		
3224	T07MC3224B	EDELWEISS PARK	82-104 FLORA ROAD 509745	104 FLORA ROAD - SINGAPORE 509745	ACTIVE	65433667	08/06/2007	CKH Strata Management Pte Ltd	63723033		
3226	T07MC3226E	CITYCOLORS	27 LORONG 41 GEYLANG 387844	65 CHULIA STREET 45-01 SINGAPORE 049513	ACTIVE	67733648	18/04/2007	SE ALLIANCE MANAGEMENT PTE LTD 	62360274		
3227	T07MC3227A	CLIFTEN	48 EWE BOON ROAD 259342	48 EWE BOON ROAD - SINGAPORE 259342	ACTIVE	68440801	09/03/2007	Halley Service Pte Ltd	68440801		
3228	T07MC3228H	TWIN REGENCY	26 KIM TIAN ROAD 169277	26 KIM TIAN ROAD 03-04 SINGAPORE 169276	ACTIVE	65348102	10/04/2007	Knight Frank Estate Management Pte Ltd	63723033		
3229	S1578277C	SIGNATURE CREST	9 GRAY LANE 438951	9 GRAY LANE - SINGAPORE 438951	ACTIVE		09/04/2007	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65682033		
3230	T07MC3230A	THE NEXUS CONDOMINIUM	951 BUKIT TIMAH ROAD 589650	959 BUKIT TIMAH ROAD B1-26 SINGAPORE 589654	ACTIVE	64681813	10/07/2007	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179222		
3231	T06MC3231C	THE ELYSIA	6 MAR THOMA ROAD 328688	6 MAR THOMA ROAD - SINGAPORE 328688	ACTIVE	6255 7997	22/12/2006	CKH STRATA MANAGEMENT PTE LTD	63463238		
3232	T07MC3232D		46 BOAT QUAY 49835	46C BOAT QUAY - SINGAPORE 049835	ACTIVE	65342379	27/11/2007				
3233	T07MC3233L	THE IMPERIAL	1 JALAN RUMBIA 239616	11 JALAN RUMBIA 01-15 SINGAPORE 239621	ACTIVE	67359505	18/06/2007	Jones Lang LaSalle 	67359502		
3235	T08MC3235H	ARTHUR 118	118 ARTHUR ROAD 439827	118 ARTHUR ROAD - SINGAPORE 439827	ACTIVE	68421731	22/01/2008				
3236	T07MC3236K	CARLYX RESIDENCE	39 CARLISLE ROAD 219604	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	29/08/2007	Earnest Management Services Pte Ltd	63370087		
3237	T07MC3237F	TUAS BAY INDUSTRIAL CENTRE	32 TUAS SOUTH AVENUE 2 637541	21 BUKIT BATOK CRESCENT 26-80/81 SINGAPORE 658065	ACTIVE	64111685	07/09/2007	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703		
3238	s7123154b	MARTIA RESIDENCE	7 MARTIA ROAD 424794	28 SIN MING LANE 02-145 SINGAPORE 573972	ACTIVE	63420778	10/04/2007	Hilandas Property and Facilities Management Pte. Ltd	63420778		
3239	T08MC3239C	SENOKO FOOD CONNECTION	1 SENOKO CRESCENT 758283	1H SENOKO CRESCENT - SINGAPORE 757517	ACTIVE	64835611	02/01/2008	CKH Strata Management Pte Ltd	63463238		
3240	T08MC3347G	Crystal De Azure	18 HOW SUN CLOSE 538645	18 HOW SUN CLOSE - SINGAPORE 538645	ACTIVE	63488278	18/11/2008	Iland Property Consultants Pte Ltd	63488278		
3241	MCST3241	THE QUINTET	36 CHOA CHU KANG STREET 64 689101	36 CHOA CHU KANG STREET 64 02-01 SINGAPORE 689101	ACTIVE	6462 4203	22/10/2007	A4 International Pte Ltd	64411184		
3242	T08MC3242C			865 MOUNTBATTEN ROAD 05-23 SINGAPORE 437844	ACTIVE		15/07/2008				
3243	T07MC3243E	EAST ELEGANCE	190 JOO CHIAT TERRACE 437336	701 GEYLANG ROAD 03-04 SINGAPORE 389687	ACTIVE	64664703	12/04/2007	Barringham International Property Management Pte Ltd	64664703		
3245	T07MC3245H	KOVAN MELODY	25 KOVAN ROAD 545024	13 KOVAN ROAD 02-25 SINGAPORE 548188	ACTIVE	62800774	19/10/2007	Knight Frank Estate Management Pte Ltd	62800774		
3246	T07MC3246D	THE GERANIUM	31 MANGIS ROAD 424968	11 LORONG 3 TOA PAYOH 01-18 SINGAPORE 319579	ACTIVE	62211313	18/04/2007	Earnest Management Services Pte Ltd	63370087		
3247	T07MC3247L	BARKER TERRACES	29G BARKER ROAD 307502	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	65333375	13/06/2007	Rhodo Property & Estate Management Services Pte Ltd	65333375		
3248	T08MC3248A	GARDENVISTA	950 DUNEARN ROAD 589474	950 DUNEARN ROAD 01-03 SINGAPORE 589474	ACTIVE	64671377	28/03/2008	Melana International Pte Ltd	68403890		
3249	T07MC3249C	2RVG	2 RIVER VALLEY GROVE 238405	28 SIN MING LANE 02-145 SINGAPORE 573972	ACTIVE	63420778	07/06/2007	Hilandas Property and Facilities Management Pte. Ltd	63420778		
3250	S1232366B	MANAGEMENT CORPN STRATA TITLE PLAN NO 3250	3 JOO CHIAT LANE 428129		ACTIVE	6334 5565 	16/05/2008	Dawson Property Management Pte Ltd			
3251	T07MC3251G	D'SUNRISE	8 JOO CHIAT LANE 428094	266 SERANGOON CENTRAL DRIVE 03-255 SINGAPORE 550266	ACTIVE	62273233	11/12/2007	Bernard Valuers & Real Estate Consultants Pte Ltd	62273233		
3252	T07MC3252C	PENJURU TECH HUB	2 PENJURU PLACE 608783	2 - 8 PENJURU PLACE 03-01 SINGAPORE 608783	ACTIVE	62569333	21/11/2007	Chamber Property Management Services Pte Ltd			
3253	T07MC3253K	MERAPRIME	301 JALAN BUKIT HO SWEE 169568	301 JALAN BUKIT HO SWEE B1-01 SINGAPORE 169568	ACTIVE	62762793	04/09/2007	KNGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
3254	T08MC3254L	SUMMIT VILLE	139 JALAN DERMAWAN 669103	137 JALAN DERMAWAN - SINGAPORE 669089	ACTIVE	68420768	16/01/2008	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65682040		
3255	T07MC3255B	LA BELLE	9 RECREATION LANE 546591	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	26/07/2007	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
3256	T07MC3256J	CENDEX CENTRE	120 LOWER DELTA ROAD 169208	120 LOWER DELTA ROAD 01-16 SINGAPORE 169208	ACTIVE	62705993	03/10/2007	SavillsCKH Pte Ltd	62705993		
3257	T08MC3257K	DOMAIN 21	21 DELTA ROAD 169813	21 DELTA ROAD 02-04 SINGAPORE 169813	ACTIVE	62763188	25/01/2008	Knight Frank Estate Management Pte Ltd	63723117		
3258	T08MC3258F	EASTMEWS	853 MOUNTBATTEN ROAD 437838	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	02/07/2008	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
3259	T07MC3259H	TANGERINE GROVE	1 PAYA LEBAR CRESCENT 536019	1 PAYA LEBAR CRESCENT B1-01 SINGAPORE 536019	ACTIVE	64836028	06/12/2007	Propnex Property Management Consultant Pte Ltd	65908880		
3260	T07MC3260E	LEONIE STUDIO	21 LEONIE HILL 239223	21 LEONIE HILL 01-01 SINGAPORE 239223	ACTIVE	67358809	18/09/2007	JONES LANG LASALLE PROPERTY MANAGEMENT PTE LTD	62203888		
3261	T08MC3261F	MOUNTBATTEN REGENCY	825 MOUNTBATTEN ROAD 437818	1 YUK TONG AVENUE 01-01 SINGAPORE 596306	ACTIVE	64661342	16/06/2008	Philip Motha Property Management Pte Ltd	64661342		
3262	T08MC3262B	RIVIERA RESIDENCES	13 RIVIERA DRIVE 467204	13 RIVIERA DRIVE 01-13 SINGAPORE 467204	ACTIVE	62455868	30/07/2008	Knight Frank Estate Management Pte Ltd	63723008		
3263	T08MC3348C	PIONEER LOT	25 BENOI ROAD 629914	25 BENOI ROAD 01-08 SINGAPORE 629914	ACTIVE	68612421	29/10/2008	SavillsCKH Pte Ltd	63463238		
3264	T07MC3264L	OWEN 88	88 OWEN ROAD 218901	12 SURREY ROAD 01-01 SINGAPORE 307750	ACTIVE	62524328	12/12/2007	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	64624203		
3265	T07MC3265G	SUNSHINE REGENCY	9 RAMBAI ROAD 424352	9 & 11 RAMBAI ROAD 01-01 SINGAPORE 424352	ACTIVE	6568 2040	03/09/2007	EXCELTEC PROPERTY MANAGEMENT PTE LTD	65682033		
3266	T09MC0026E	MANAGEMENT CORPN STRATA TITLE PLAN NO 3266	1 SHANGHAI ROAD 248180		ACTIVE	6223 2323	17/04/2009	Colliers International Consultancy & Valuation (S) Pte Ltd	62232323		
3267	T07MC3267K	D' PALMA	18 LORONG MYDIN 416817	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	68421731	20/11/2007	Landsfield Property Consultants Pte Ltd	68421731		
3269	T08MC3269G	MANAGEMENT CORPN STRATA TITLE PLAN NO 3269	3 PHILLIPS AVENUE 546920		ACTIVE	6286 9101	21/01/2008	Propmag Management Services Pte Ltd	66653877		
3271	T07MC3271F	LAGUNA PARK	5000G MARINE PARADE ROAD 499288	5000C MARINE PARADE ROAD 01-11 SINGAPORE 449286	ACTIVE	6448 6274	16/07/2007	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
3272	T08MC3272G	FRONTIER ePARK@UBI	50 UBI AVENUE 3 408866	50 UBI AVENUE 3 01-24 SINGAPORE 408866	ACTIVE	62421869	05/08/2008	Colliers International Consultancy & Valuation (S) Pte Ltd	62232323		
3273	T08MC3273C	CADENCE LIGHT	199 TELOK KURAU ROAD 423833	199 TELOK KURAU ROAD 01-01 SINGAPORE 423833	ACTIVE	6665 3880	01/02/2008	Propmag Management Services Pte Ltd	6665 3880		
3274	T07MC3274E	ASTOR	51C LENGKONG EMPAT 417660	51C LENGKONG EMPAT B1-01 SINGAPORE 417660	ACTIVE	67970926	26/11/2007	Weavepact Management Pte Ltd	67470926		
3276	T07MC3276H	BLUWATERS	195 JALAN LOYANG BESAR 509439	195A JALAN LOYANG BESAR B1-05 SINGAPORE 506962	ACTIVE	63378047	31/10/2007	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT PTE LTD	64179222		
3277	T07MC3277D	THE METZ	83 DEVONSHIRE ROAD 239864	83 DEVONSHIRE ROAD 01-01 SINGAPORE 239864	ACTIVE	67379786	13/12/2007				
